27,83,74,47,48
6,58,90,38,81
12,71,71,15,36
74,16,41,4,53
44,38,72,52,97
67,53,86,58,23
77,84,6,51,82
53,56,40,94,46
72,6,68,95,20
3,68,87,95,23
40,38,60,63,41
57,81,93,94,38
16,70,73,21,20
55,25,28,94,18
73,17,23,92,11
95,94,31,81,40
53,72,78,13,35
18,21,15,63,14
53,30,83,25,50
55,79,26,82,24
43,6,93,18,97
55,12,42,85,44
81,38,16,10,2
50,80,22,16,42
87,68,71,69,45
72,23,75,97,56
51,91,61,43,8
9,97,71,50,82
15,83,71,82,92
24,83,71,97,98
64,83,18,86,3
62,57,78,88,5
33,38,48,46,32
7,6,29,78,56
62,44,38,84,25
81,7,7,4,55
56,67,37,73,5
91,34,13,68,22
18,53,11,17,50
43,23,55,23,52
10,36,95,99,19
71,32,77,29,35
31,85,53,19,57
57,9,43,70,77
16,39,29,26,55
30,20,29,84,42
81,46,77,75,44
47,98,27,23,26
13,5,62,66,23
19,74,32,61,43
8,28,33,88,53
39,17,25,68,52
66,48,97,95,74
93,41,71,19,64
49,32,68,10,49
43,28,22,74,40
17,33,19,49,20
24,88,88,48,55
39,13,54,88,7
27,80,48,50,50
63,98,81,82,7
29,24,87,3,97
78,19,81,97,67
52,20,6,39,67
12,30,31,65,69
90,44,48,89,93
97,51,90,30,84
48,10,60,86,12
8,64,82,89,12
49,40,83,6,31
1,18,12,31,82
80,72,77,27,60
69,75,62,10,4
46,10,14,5,95
77,64,10,59,52
73,59,92,55,64
74,7,33,85,38
67,64,61,43,90
21,64,16,82,73
20,79,82,85,35
29,13,99,90,23
50,63,81,93,17
97,66,76,29,50
65,47,13,25,90
54,45,53,22,79
77,41,57,11,77
92,39,41,42,28
64,43,42,44,36
11,92,53,86,73
55,50,19,19,74
60,25,71,12,46
49,41,86,57,51
14,100,89,54,41
68,17,84,62,13
71,72,56,75,57
28,29,6,99,48
31,58,72,1,22
69,49,62,6,58
12,19,57,52,24
98,71,41,33,32
