55,58,12,17,25
47,85,35,17,99
63,94,30,94,31
95,43,97,68,2
11,23,5,100,100
89,96,17,92,48
37,98,57,48,67
82,95,3,68,63
1,30,8,82,75
38,77,18,86,96
19,97,71,23,48
70,64,95,87,55
42,23,5,99,70
71,32,16,73,99
31,73,28,38,54
54,28,82,71,65
78,89,61,100,64
61,69,27,7,7
81,49,81,37,99
3,7,82,18,79
80,100,3,59,38
9,12,65,90,35
29,19,23,42,18
86,54,39,12,60
97,45,60,78,81
10,80,40,91,49
18,70,49,73,80
86,81,44,2,70
78,82,41,100,75
10,38,28,48,1
40,45,97,99,22
30,61,53,69,51
1,38,73,49,10
52,86,42,47,39
64,24,21,4,76
95,13,13,75,13
65,66,57,62,64
30,91,24,34,11
27,34,48,99,35
10,2,72,51,49
11,14,72,83,69
99,77,34,11,3
46,28,68,54,89
84,35,31,59,68
41,85,53,40,35
39,49,89,11,52
37,73,17,60,55
86,59,83,71,21
38,16,48,5,69
88,40,55,70,99
22,10,35,26,2
22,65,2,10,27
53,98,51,22,9
5,59,19,39,29
40,76,44,39,81
64,79,20,18,48
70,91,10,57,68
11,78,84,64,87
10,69,84,60,90
92,16,48,63,55
28,54,30,23,92
62,38,22,34,55
70,3,97,31,59
64,93,36,48,56
74,9,24,9,21
65,53,88,64,15
42,91,68,24,65
11,85,2,33,18
8,54,73,4,84
83,20,28,71,19
83,44,79,59,53
99,23,57,39,39
71,80,81,38,55
46,48,40,47,32
9,55,85,33,10
20,16,81,47,86
99,82,81,30,40
33,80,14,89,18
52,11,98,33,48
4,78,48,43,76
31,4,30,68,36
40,39,51,72,86
88,71,19,69,52
58,53,31,23,94
49,75,4,98,59
4,1,88,3,96
63,33,99,45,100
34,36,39,37,7
76,24,29,94,92
80,3,97,11,25
90,59,51,93,56
9,96,8,96,98
3,11,83,1,55
34,87,90,72,75
48,99,98,77,92
42,56,46,38,66
71,79,76,21,71
31,82,19,91,77
16,93,39,98,46
45,32,32,34,55
