bugAlgo,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,r
t1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t3,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t5,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t6,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t7,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t8,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t9,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t10,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t11,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t12,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t13,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t14,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t16,1,1,1,1,1,1,1,1,1,1,0,1,1,0
t17,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t18,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t19,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t20,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t22,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t23,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t24,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t25,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t26,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t27,1,1,1,1,1,1,1,1,1,1,0,1,1,0
t28,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t29,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t30,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t31,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t32,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t33,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t34,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t35,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t36,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t37,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t38,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t39,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t40,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t41,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t42,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t43,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t44,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t45,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t46,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t47,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t48,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t49,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t50,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t51,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t52,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t53,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t54,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t55,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t56,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t57,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t58,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t59,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t60,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t61,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t62,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t63,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t64,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t65,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t66,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t67,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t68,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t69,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t70,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t71,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t72,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t73,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t74,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t75,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t76,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t77,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t78,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t79,1,1,1,1,1,1,1,1,1,1,1,1,1,0
t80,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t81,1,1,1,1,1,1,1,1,1,1,1,1,1,0
